iter	Passed	Remaining
0	178	177849
1	215	107403
2	261	86888
3	302	75309
4	341	67924
5	382	63307
6	422	59947
7	463	57439
8	502	55368
9	543	53827
10	586	52689
11	624	51408
12	662	50320
13	703	49547
14	745	48925
15	789	48560
16	914	52885
17	976	53300
18	1032	53307
19	1096	53741
20	1157	53975
21	1211	53864
22	1271	53998
23	1325	53905
24	1381	53883
25	1434	53741
26	1483	53466
27	1540	53491
28	1752	58678
29	1897	61347
30	2049	64065
31	2106	63718
32	2177	63812
33	2238	63591
34	2296	63329
35	2373	63568
36	2449	63743
37	2517	63724
38	2583	63654
39	2659	63834
40	2746	64231
41	2825	64450
42	2891	64350
43	2945	64008
44	2991	63486
45	3039	63026
46	3098	62822
47	3148	62442
48	3194	62005
49	3240	61563
50	3288	61200
51	3357	61214
52	3431	61312
53	3525	61769
54	3663	62948
55	3769	63543
56	3858	63833
57	3941	64023
58	4000	63804
59	4073	63819
60	4146	63834
61	4251	64320
62	4351	64713
63	4418	64620
64	4464	64220
65	4525	64043
66	4606	64150
67	4681	64168
68	4745	64030
69	4826	64121
70	4882	63884
71	4960	63938
72	5062	64284
73	5168	64680
74	5278	65099
75	5376	65371
76	5439	65209
77	5519	65242
78	5600	65293
79	5664	65138
80	5730	65013
81	5776	64670
82	5883	65004
83	6082	66325
84	6153	66242
85	6235	66272
86	6285	65960
87	6328	65589
88	6367	65181
89	6403	64750
90	6443	64362
91	6482	63980
92	6528	63669
93	6577	63395
94	6626	63126
95	6676	62868
96	6729	62647
97	6779	62398
98	6821	62084
99	6869	61827
100	6913	61540
101	6962	61292
102	7011	61057
103	7064	60866
104	7107	60583
105	7155	60351
106	7202	60114
107	7250	59883
108	7292	59609
109	7354	59508
110	7415	59392
111	7480	59312
112	7536	59160
113	7587	58966
114	7632	58733
115	7674	58484
116	7713	58216
117	7754	57961
118	7792	57693
119	7830	57425
120	7869	57165
121	7907	56911
122	7945	56649
123	7980	56377
124	8024	56168
125	8075	56012
126	8122	55830
127	8172	55678
128	8209	55432
129	8252	55230
130	8295	55028
131	8332	54791
132	8370	54562
133	8408	54343
134	8446	54118
135	8483	53893
136	8520	53674
137	8557	53454
138	8597	53252
139	8647	53120
140	8695	52971
141	8740	52812
142	8785	52653
143	8834	52518
144	8877	52349
145	8928	52227
146	8968	52040
147	9010	51871
148	9054	51711
149	9107	51609
150	9155	51477
151	9201	51333
152	9244	51175
153	9292	51047
154	9344	50940
155	9392	50816
156	9445	50717
157	9492	50586
158	9539	50456
159	9589	50343
160	9633	50203
161	9671	50030
162	9710	49863
163	9748	49696
164	9786	49525
165	9827	49375
166	9867	49221
167	9907	49065
168	9943	48893
169	9983	48743
170	10022	48590
171	10061	48434
172	10099	48279
173	10138	48129
174	10173	47960
175	10214	47820
176	10252	47672
177	10291	47524
178	10329	47375
179	10391	47341
180	10430	47197
181	10469	47053
182	10506	46907
183	10542	46753
184	10579	46605
185	10618	46468
186	10657	46336
187	10698	46208
188	10738	46078
189	10778	45948
190	10818	45822
191	10859	45700
192	10897	45564
193	10935	45431
194	10976	45312
195	11023	45219
196	11065	45104
197	11109	44999
198	11151	44884
199	11194	44779
200	11242	44689
201	11290	44602
202	11334	44500
203	11379	44402
204	11422	44297
205	11464	44187
206	11505	44075
207	11546	43967
208	11584	43842
209	11624	43729
210	11660	43604
211	11700	43490
212	11739	43374
213	11776	43254
214	11812	43130
215	11850	43014
216	11895	42922
217	11940	42832
218	11988	42752
219	12035	42670
220	12092	42623
221	12135	42530
222	12187	42463
223	12227	42360
224	12269	42263
225	12308	42152
226	12342	42030
227	12376	41905
228	12409	41781
229	12444	41663
230	12477	41537
231	12514	41426
232	12549	41310
233	12591	41218
234	12629	41112
235	12668	41011
236	12707	40910
237	12747	40812
238	12784	40705
239	12823	40608
240	12860	40501
241	12897	40396
242	12934	40294
243	12973	40197
244	13021	40126
245	13063	40040
246	13103	39947
247	13151	39879
248	13191	39787
249	13231	39694
250	13269	39596
251	13314	39521
252	13363	39457
253	13411	39390
254	13457	39318
255	13498	39229
256	13539	39144
257	13584	39069
258	13624	38978
259	13666	38898
260	13708	38813
261	13744	38714
262	13787	38636
263	13825	38545
264	13876	38486
265	13923	38420
266	13969	38349
267	14009	38264
268	14048	38175
269	14088	38090
270	14125	37997
271	14161	37902
272	14198	37810
273	14234	37715
274	14271	37624
275	14307	37530
276	14344	37440
277	14382	37353
278	14421	37269
279	14464	37194
280	14502	37106
281	14544	37031
282	14582	36944
283	14627	36878
284	14664	36789
285	14705	36711
286	14745	36633
287	14787	36558
288	14825	36473
289	14861	36384
290	14898	36298
291	14938	36219
292	14976	36137
293	15010	36045
294	15052	35972
295	15089	35889
296	15127	35805
297	15168	35732
298	15207	35654
299	15247	35578
300	15287	35500
301	15330	35432
302	15365	35346
303	15400	35258
304	15436	35174
305	15471	35089
306	15530	35057
307	15570	34984
308	15607	34902
309	15645	34823
310	15683	34746
311	15726	34678
312	15766	34606
313	15805	34530
314	15840	34447
315	15879	34372
316	15916	34293
317	15955	34218
318	15992	34140
319	16028	34061
320	16065	33982
321	16102	33905
322	16141	33831
323	16183	33764
324	16229	33706
325	16281	33662
326	16328	33606
327	16377	33552
328	16422	33494
329	16481	33463
330	16532	33413
331	16573	33346
332	16619	33288
333	16663	33227
334	16710	33170
335	16752	33105
336	16790	33033
337	16830	32963
338	16874	32902
339	16918	32841
340	16964	32784
341	17006	32719
342	17053	32665
343	17099	32607
344	17140	32542
345	17182	32478
346	17259	32479
347	17430	32657
348	17541	32720
349	17632	32745
350	17690	32709
351	17748	32673
352	17808	32641
353	17862	32596
354	17912	32544
355	17958	32486
356	18008	32435
357	18062	32391
358	18117	32349
359	18171	32304
360	18220	32250
361	18273	32205
362	18319	32146
363	18365	32089
364	18409	32027
365	18457	31973
366	18506	31919
367	18546	31851
368	18588	31786
369	18630	31722
370	18670	31654
371	18707	31581
372	18745	31510
373	18808	31482
374	18872	31453
375	18937	31428
376	19038	31461
377	19093	31419
378	19155	31387
379	19209	31341
380	19266	31302
381	19339	31288
382	19393	31242
383	19436	31179
384	19476	31111
385	19518	31048
386	19563	30988
387	19605	30924
388	19647	30860
389	19695	30805
390	19736	30740
391	19788	30692
392	19845	30651
393	19915	30631
394	19961	30574
395	20014	30527
396	20064	30475
397	20110	30418
398	20149	30350
399	20191	30287
400	20240	30234
401	20286	30178
402	20334	30122
403	20381	30067
404	20423	30005
405	20479	29963
406	20531	29914
407	20577	29857
408	20623	29801
409	20672	29747
410	20723	29699
411	20762	29632
412	20865	29656
413	20990	29711
414	21131	29787
415	21210	29776
416	21284	29757
417	21337	29708
418	21386	29655
419	21441	29610
420	21486	29550
421	21533	29493
422	21570	29424
423	21605	29350
424	21647	29287
425	21683	29216
426	21721	29148
427	21758	29079
428	21799	29014
429	21843	28955
430	21884	28891
431	21931	28835
432	21976	28777
433	22015	28711
434	22057	28649
435	22098	28586
436	22139	28522
437	22181	28461
438	22223	28399
439	22263	28335
440	22307	28276
441	22348	28213
442	22393	28155
443	22432	28091
444	22475	28031
445	22514	27966
446	22553	27902
447	22594	27839
448	22631	27772
449	22667	27704
450	22708	27642
451	22747	27578
452	22792	27522
453	22842	27471
454	22883	27409
455	22925	27349
456	22966	27288
457	23026	27249
458	23079	27202
459	23134	27157
460	23181	27103
461	23230	27051
462	23284	27005
463	23334	26954
464	23386	26907
465	23439	26859
466	23489	26808
467	23534	26753
468	23580	26697
469	23628	26644
470	23669	26584
471	23708	26521
472	23747	26459
473	23789	26399
474	23830	26338
475	23871	26278
476	23909	26214
477	23945	26150
478	23988	26092
479	24029	26032
480	24069	25971
481	24111	25912
482	24155	25856
483	24194	25794
484	24232	25731
485	24268	25667
486	24306	25603
487	24343	25540
488	24378	25474
489	24416	25413
490	24454	25351
491	24492	25288
492	24531	25228
493	24568	25164
494	24612	25109
495	24653	25051
496	24695	24993
497	24740	24939
498	24790	24889
499	24841	24841
500	24883	24783
501	24925	24727
502	24968	24670
503	25006	24609
504	25048	24552
505	25085	24490
506	25123	24429
507	25163	24371
508	25206	24315
509	25246	24256
510	25283	24194
511	25318	24131
512	25356	24071
513	25394	24010
514	25433	23952
515	25474	23894
516	25512	23834
517	25549	23774
518	25589	23716
519	25626	23655
520	25663	23594
521	25700	23533
522	25736	23472
523	25774	23413
524	25815	23357
525	25857	23301
526	25900	23246
527	25940	23189
528	25984	23135
529	26029	23082
530	26075	23030
531	26117	22975
532	26153	22914
533	26193	22857
534	26234	22801
535	26270	22741
536	26308	22683
537	26345	22624
538	26389	22570
539	26435	22519
540	26474	22461
541	26516	22407
542	26560	22353
543	26603	22300
544	26644	22244
545	26684	22187
546	26723	22131
547	26768	22079
548	26807	22022
549	26850	21968
550	26889	21911
551	26932	21858
552	26973	21803
553	27014	21747
554	27054	21692
555	27097	21638
556	27139	21584
557	27176	21526
558	27213	21469
559	27259	21417
560	27307	21369
561	27351	21316
562	27391	21261
563	27428	21203
564	27468	21148
565	27514	21097
566	27559	21046
567	27600	20991
568	27641	20937
569	27685	20885
570	27728	20832
571	27768	20778
572	27813	20726
573	27856	20673
574	27900	20622
575	27948	20572
576	27991	20520
577	28037	20470
578	28086	20422
579	28129	20369
580	28170	20315
581	28215	20264
582	28267	20218
583	28335	20183
584	28415	20157
585	28477	20119
586	28529	20072
587	28588	20031
588	28643	19987
589	28690	19937
590	28749	19895
591	28799	19848
592	28844	19797
593	28896	19750
594	28947	19703
595	28988	19650
596	29027	19595
597	29064	19538
598	29101	19481
599	29136	19424
600	29173	19367
601	29208	19310
602	29246	19255
603	29284	19199
604	29319	19142
605	29358	19087
606	29395	19032
607	29432	18976
608	29469	18920
609	29511	18867
610	29549	18813
611	29590	18760
612	29631	18707
613	29674	18655
614	29715	18602
615	29756	18549
616	29801	18499
617	29844	18447
618	29895	18400
619	29949	18355
620	30005	18312
621	30054	18264
622	30101	18215
623	30147	18166
624	30189	18113
625	30229	18060
626	30270	18007
627	30327	17964
628	30385	17921
629	30446	17881
630	30529	17853
631	30668	17857
632	30755	17831
633	30810	17786
634	30880	17750
635	30948	17712
636	31001	17666
637	31047	17616
638	31106	17573
639	31163	17529
640	31216	17483
641	31273	17438
642	31324	17391
643	31379	17346
644	31442	17305
645	31499	17261
646	31544	17210
647	31599	17165
648	31647	17115
649	31697	17067
650	31743	17017
651	31789	16967
652	31838	16918
653	31891	16872
654	31940	16823
655	31983	16772
656	32027	16720
657	32068	16667
658	32111	16615
659	32153	16563
660	32194	16511
661	32239	16460
662	32285	16410
663	32326	16358
664	32370	16306
665	32411	16254
666	32449	16200
667	32497	16151
668	32550	16105
669	32597	16055
670	32645	16006
671	32699	15960
672	32743	15909
673	32786	15858
674	32830	15807
675	32869	15754
676	32910	15701
677	32949	15648
678	32994	15598
679	33037	15547
680	33082	15496
681	33127	15446
682	33170	15395
683	33213	15344
684	33258	15293
685	33306	15245
686	33356	15197
687	33407	15149
688	33468	15107
689	33526	15062
690	33601	15025
691	33652	14978
692	33708	14933
693	33766	14888
694	33821	14842
695	33867	14792
696	33915	14743
697	33964	14695
698	34007	14644
699	34053	14594
700	34104	14546
701	34147	14495
702	34190	14444
703	34236	14394
704	34278	14343
705	34316	14290
706	34356	14238
707	34396	14186
708	34435	14133
709	34474	14081
710	34520	14031
711	34564	13981
712	34609	13931
713	34658	13882
714	34729	13843
715	34800	13803
716	34936	13789
717	35041	13762
718	35135	13731
719	35203	13690
720	35316	13666
721	35387	13625
722	35490	13597
723	35559	13555
724	35625	13513
725	35696	13472
726	35759	13428
727	35800	13375
728	35840	13323
729	35886	13273
730	35927	13220
731	35967	13168
732	36004	13114
733	36040	13061
734	36074	13006
735	36113	12953
736	36152	12901
737	36195	12849
738	36235	12797
739	36273	12744
740	36310	12691
741	36347	12638
742	36386	12585
743	36423	12532
744	36461	12480
745	36504	12429
746	36540	12375
747	36577	12322
748	36616	12270
749	36660	12220
750	36703	12169
751	36746	12118
752	36782	12065
753	36821	12013
754	36862	11961
755	36902	11910
756	36941	11858
757	36981	11806
758	37028	11757
759	37076	11708
760	37126	11659
761	37174	11610
762	37217	11560
763	37261	11510
764	37297	11457
765	37335	11405
766	37375	11353
767	37410	11300
768	37447	11248
769	37490	11198
770	37529	11146
771	37566	11094
772	37606	11043
773	37646	10992
774	37687	10941
775	37723	10889
776	37762	10837
777	37799	10786
778	37834	10733
779	37871	10681
780	37909	10630
781	37947	10578
782	37982	10526
783	38018	10474
784	38054	10422
785	38093	10371
786	38131	10320
787	38172	10269
788	38219	10220
789	38263	10171
790	38324	10126
791	38364	10075
792	38400	10023
793	38437	9972
794	38475	9921
795	38513	9870
796	38553	9819
797	38591	9768
798	38629	9717
799	38668	9667
800	38702	9615
801	38738	9563
802	38775	9512
803	38812	9461
804	38847	9410
805	38881	9358
806	38916	9307
807	38952	9256
808	38990	9205
809	39027	9154
810	39065	9104
811	39102	9053
812	39141	9002
813	39179	8952
814	39220	8902
815	39259	8852
816	39299	8802
817	39338	8752
818	39377	8702
819	39419	8653
820	39460	8603
821	39501	8553
822	39538	8503
823	39578	8453
824	39617	8403
825	39655	8353
826	39694	8303
827	39731	8253
828	39768	8203
829	39807	8153
830	39849	8104
831	39887	8054
832	39924	8004
833	39963	7954
834	40000	7904
835	40038	7854
836	40075	7804
837	40116	7755
838	40153	7705
839	40192	7655
840	40232	7606
841	40270	7556
842	40311	7507
843	40353	7458
844	40396	7409
845	40441	7361
846	40486	7313
847	40534	7265
848	40575	7216
849	40621	7168
850	40664	7119
851	40702	7070
852	40751	7022
853	40795	6974
854	40840	6926
855	40883	6877
856	40926	6829
857	40970	6780
858	41016	6732
859	41058	6683
860	41103	6635
861	41146	6587
862	41188	6538
863	41228	6489
864	41265	6440
865	41308	6391
866	41348	6342
867	41388	6294
868	41427	6245
869	41464	6195
870	41499	6146
871	41539	6097
872	41577	6048
873	41615	5999
874	41654	5950
875	41694	5901
876	41730	5852
877	41776	5804
878	41816	5756
879	41856	5707
880	41897	5659
881	41934	5610
882	41972	5561
883	42009	5512
884	42045	5463
885	42088	5415
886	42124	5366
887	42162	5317
888	42199	5269
889	42236	5220
890	42272	5171
891	42310	5122
892	42346	5073
893	42381	5025
